cbcl_q11_p,cbcl_q12_p,cbcl_q25_p,cbcl_q27_p,cbcl_q34_p,cbcl_q36_p,cbcl_q38_p,cbcl_q48_p,cbcl_q62_p,cbcl_q64_p,cbcl_q79_p,Count
0,0,0,2,0,0,1,1,0,0,0,1
0,0,0,2,0,0,1,1,0,1,1,1
0,0,0,2,0,1,0,0,0,0,0,6
0,0,0,2,0,1,0,0,1,0,0,2
0,0,0,2,0,1,0,0,1,0,2,1
0,0,0,2,0,1,0,0,1,1,0,2
0,0,0,2,0,1,1,0,0,0,0,3
0,0,0,2,0,1,1,0,0,1,0,1
0,0,0,2,0,1,1,0,2,1,0,1
0,0,0,2,0,1,1,1,0,0,1,1
0,0,0,2,0,1,2,1,0,1,0,1
0,0,0,2,0,2,0,0,1,0,0,1
0,0,0,2,1,0,0,0,0,0,0,4
0,0,0,2,1,0,0,0,0,1,1,1
0,0,0,2,1,0,0,0,1,0,0,2
0,0,0,2,1,0,1,0,0,0,1,1
0,0,0,2,1,0,1,1,0,0,0,1
0,0,0,2,1,2,1,0,1,0,0,1
0,0,0,2,2,0,0,0,0,1,0,1
0,0,0,2,2,0,1,0,0,1,2,1
0,0,1,0,0,0,0,0,0,0,0,88
0,0,1,0,0,0,0,0,0,0,1,7
0,0,1,0,0,0,0,0,0,0,2,5
0,0,1,0,0,0,0,0,0,1,0,16
0,0,1,0,0,0,0,0,0,1,1,1
0,0,1,0,0,0,0,0,0,1,2,1
0,0,1,0,0,0,0,0,0,2,0,1
0,0,1,0,0,0,0,0,1,0,0,4
0,0,1,0,0,0,0,0,1,0,1,1
0,0,1,0,0,0,0,0,1,1,0,1
0,0,1,0,0,0,0,0,1,2,0,1
0,0,1,0,0,0,0,1,0,0,0,21
0,0,1,0,0,0,0,1,0,0,1,2
0,0,1,0,0,0,0,1,0,1,0,12
0,0,1,0,0,0,0,1,0,2,0,1
0,0,1,0,0,0,0,1,1,0,0,1
0,0,1,0,0,0,0,1,1,0,1,2
0,0,1,0,0,0,0,1,1,1,0,2
0,0,1,0,0,0,0,1,1,2,2,1
0,0,1,0,0,0,0,1,2,0,0,1
0,0,1,0,0,0,0,2,1,1,0,1
0,0,1,0,0,0,1,0,0,0,0,11
0,0,1,0,0,0,1,0,0,0,1,4
0,0,1,0,0,0,1,0,0,0,2,3
0,0,1,0,0,0,1,0,0,1,0,5
0,0,1,0,0,0,1,0,0,1,1,1
0,0,1,0,0,0,1,0,1,0,0,1
0,0,1,0,0,0,1,0,1,1,1,1
0,0,1,0,0,0,1,1,0,0,0,16
0,0,1,0,0,0,1,1,0,0,1,1
0,0,1,0,0,0,1,1,0,1,0,9
0,0,1,0,0,0,1,1,0,1,1,2
0,0,1,0,0,0,1,1,0,2,2,1
0,0,1,0,0,0,1,1,1,0,0,2
0,0,1,0,0,0,1,1,1,1,0,1
0,0,1,0,0,0,1,1,1,2,1,1
0,0,1,0,0,0,2,0,0,0,0,2
0,0,1,0,0,0,2,0,1,2,2,1
0,0,1,0,0,0,2,1,0,0,0,1
0,0,1,0,0,0,2,1,0,1,1,1
0,0,1,0,0,0,2,2,0,1,0,1
0,0,1,0,0,1,0,0,0,0,0,9
0,0,1,0,0,1,0,0,1,0,0,2
0,0,1,0,0,1,0,0,1,0,1,1
0,0,1,0,0,1,0,0,1,1,0,3
0,0,1,0,0,1,0,1,0,0,0,5
0,0,1,0,0,1,0,1,1,0,0,3
0,0,1,0,0,1,0,1,1,0,1,1
0,0,1,0,0,1,0,1,1,2,0,1
0,0,1,0,0,1,0,1,2,0,2,1
0,0,1,0,0,1,1,0,0,1,1,1
0,0,1,0,0,1,1,0,1,0,0,1
0,0,1,0,0,1,1,0,1,0,1,1
0,0,1,0,0,1,1,1,0,0,0,2
0,0,1,0,0,1,1,1,1,0,0,4
0,0,1,0,0,1,1,1,1,0,1,2
0,0,1,0,0,1,1,1,1,1,0,2
0,0,1,0,0,1,1,1,1,1,1,1
0,0,1,0,0,1,1,2,0,2,0,1
0,0,1,0,0,1,2,1,0,2,0,1
0,0,1,0,0,2,0,0,1,0,0,1
0,0,1,0,0,2,0,0,2,1,0,1
0,0,1,0,0,2,0,1,0,0,0,1
0,0,1,0,0,2,1,0,1,0,0,1
0,0,1,0,0,2,1,1,0,0,0,1
0,0,1,0,0,2,1,1,2,1,0,1
0,0,1,0,0,2,1,1,2,1,2,1
0,0,1,0,0,2,2,1,2,1,2,1
0,0,1,0,1,0,0,0,0,0,0,8
0,0,1,0,1,0,0,1,0,0,0,3
0,0,1,0,1,0,0,1,0,1,0,1
0,0,1,0,1,0,0,1,0,1,1,1
0,0,1,0,1,0,1,1,0,0,0,5
0,0,1,0,1,0,1,1,0,1,0,1
0,0,1,0,1,0,1,1,1,0,1,1
0,0,1,0,1,0,2,0,1,1,0,1
0,0,1,0,1,0,2,1,1,0,0,1
0,0,1,0,1,1,0,0,0,0,0,1
0,0,1,0,1,1,1,0,0,0,0,1
0,0,1,0,1,1,1,0,1,1,0,1
0,0,1,0,1,1,1,1,0,0,0,1
0,0,1,0,1,1,1,1,1,0,0,1
0,0,1,0,1,1,2,1,0,0,2,1
0,0,1,0,1,2,0,0,0,0,1,1
0,0,1,0,1,2,1,0,2,0,0,1
0,0,1,0,2,1,1,0,1,1,0,1
0,0,1,1,0,0,0,0,0,0,0,37
0,0,1,1,0,0,0,0,0,0,1,2
0,0,1,1,0,0,0,0,0,0,2,2
0,0,1,1,0,0,0,0,0,1,0,19
0,0,1,1,0,0,0,0,0,1,1,3
0,0,1,1,0,0,0,0,0,1,2,1
0,0,1,1,0,0,0,0,1,1,1,1
0,0,1,1,0,0,0,1,0,0,0,16
0,0,1,1,0,0,0,1,0,1,0,2
0,0,1,1,0,0,0,1,0,2,0,1
0,0,1,1,0,0,0,1,1,1,0,2
0,0,1,1,0,0,0,1,1,1,2,1
0,0,1,1,0,0,0,1,1,2,0,1
0,0,1,1,0,0,0,2,0,0,0,1
0,0,1,1,0,0,1,0,0,0,0,11
0,0,1,1,0,0,1,0,0,0,1,1
0,0,1,1,0,0,1,0,0,1,0,2
0,0,1,1,0,0,1,0,0,1,2,1
0,0,1,1,0,0,1,0,0,2,0,1
0,0,1,1,0,0,1,0,1,1,0,1
0,0,1,1,0,0,1,1,0,0,0,7
0,0,1,1,0,0,1,1,0,0,1,2
0,0,1,1,0,0,1,1,0,1,0,4
0,0,1,1,0,0,1,1,0,1,1,1
0,0,1,1,0,0,1,1,1,1,0,1
0,0,1,1,0,0,1,1,1,1,1,1
0,0,1,1,0,0,1,1,2,0,0,1
0,0,1,1,0,0,1,1,2,1,0,1
0,0,1,1,0,0,2,1,0,1,0,2
0,0,1,1,0,0,2,2,0,2,0,1
0,0,1,1,0,1,0,0,0,0,0,10
0,0,1,1,0,1,0,0,0,0,1,1
0,0,1,1,0,1,0,0,0,1,0,3
0,0,1,1,0,1,0,0,1,0,0,2
0,0,1,1,0,1,0,0,1,1,0,1
0,0,1,1,0,1,0,1,0,0,0,3
0,0,1,1,0,1,0,1,0,1,0,1
0,0,1,1,0,1,1,0,0,0,0,3
0,0,1,1,0,1,1,0,0,1,0,2
0,0,1,1,0,1,1,0,1,0,0,1
0,0,1,1,0,1,1,0,1,1,0,2
0,0,1,1,0,1,1,1,0,0,0,3
0,0,1,1,0,1,1,1,0,1,0,1
0,0,1,1,0,1,1,1,1,0,0,1
0,0,1,1,0,1,1,1,1,1,0,3
0,0,1,1,0,1,1,1,2,1,2,1
