cbcl_q14_p,cbcl_q29_p,cbcl_q30_p,cbcl_q31_p,cbcl_q32_p,cbcl_q33_p,cbcl_q35_p,cbcl_q45_p,cbcl_q50_p,cbcl_q52_p,cbcl_q71_p,cbcl_q91_p,cbcl_q112_p,Count
0,0,0,0,0,0,0,0,0,0,0,0,0,3662
0,0,0,0,0,0,0,0,0,0,0,0,1,317
0,0,0,0,0,0,0,0,0,0,0,0,2,3
0,0,0,0,0,0,0,0,0,0,0,1,0,5
0,0,0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,1,0,0,837
0,0,0,0,0,0,0,0,0,0,1,0,1,229
0,0,0,0,0,0,0,0,0,0,1,1,0,4
0,0,0,0,0,0,0,0,0,0,1,1,1,2
0,0,0,0,0,0,0,0,0,0,2,0,0,35
0,0,0,0,0,0,0,0,0,0,2,0,1,13
0,0,0,0,0,0,0,0,0,1,0,0,0,7
0,0,0,0,0,0,0,0,0,1,0,0,1,5
0,0,0,0,0,0,0,0,0,1,1,0,0,7
0,0,0,0,0,0,0,0,0,1,1,0,1,9
0,0,0,0,0,0,0,0,1,0,0,0,0,71
0,0,0,0,0,0,0,0,1,0,0,0,1,44
0,0,0,0,0,0,0,0,1,0,0,0,2,3
0,0,0,0,0,0,0,0,1,0,0,1,2,1
0,0,0,0,0,0,0,0,1,0,1,0,0,45
0,0,0,0,0,0,0,0,1,0,1,0,1,55
0,0,0,0,0,0,0,0,1,0,1,0,2,3
0,0,0,0,0,0,0,0,1,0,1,1,0,1
0,0,0,0,0,0,0,0,1,0,1,1,1,1
0,0,0,0,0,0,0,0,1,0,2,0,0,6
0,0,0,0,0,0,0,0,1,0,2,0,1,4
0,0,0,0,0,0,0,0,1,0,2,0,2,1
0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,0,0,0,0,0,0,0,1,1,0,0,1,1
0,0,0,0,0,0,0,0,1,1,1,0,0,2
0,0,0,0,0,0,0,1,0,0,0,0,0,107
0,0,0,0,0,0,0,1,0,0,0,0,1,44
0,0,0,0,0,0,0,1,0,0,0,0,2,2
0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,1,0,0,0,1,1,1
0,0,0,0,0,0,0,1,0,0,1,0,0,62
0,0,0,0,0,0,0,1,0,0,1,0,1,50
0,0,0,0,0,0,0,1,0,0,1,0,2,1
0,0,0,0,0,0,0,1,0,0,1,1,0,2
0,0,0,0,0,0,0,1,0,0,2,0,0,6
0,0,0,0,0,0,0,1,0,0,2,0,1,5
0,0,0,0,0,0,0,1,0,0,2,0,2,1
0,0,0,0,0,0,0,1,0,1,0,0,1,1
0,0,0,0,0,0,0,1,0,1,1,0,0,1
0,0,0,0,0,0,0,1,0,1,1,1,1,1
0,0,0,0,0,0,0,1,0,1,2,0,1,1
0,0,0,0,0,0,0,1,1,0,0,0,0,26
0,0,0,0,0,0,0,1,1,0,0,0,1,35
0,0,0,0,0,0,0,1,1,0,0,0,2,3
0,0,0,0,0,0,0,1,1,0,0,1,1,1
0,0,0,0,0,0,0,1,1,0,1,0,0,24
0,0,0,0,0,0,0,1,1,0,1,0,1,40
0,0,0,0,0,0,0,1,1,0,1,0,2,6
0,0,0,0,0,0,0,1,1,0,1,1,1,3
0,0,0,0,0,0,0,1,1,0,2,0,0,1
0,0,0,0,0,0,0,1,1,0,2,0,1,3
0,0,0,0,0,0,0,1,1,0,2,0,2,1
0,0,0,0,0,0,0,1,1,1,0,0,0,1
0,0,0,0,0,0,0,1,1,1,0,0,1,2
0,0,0,0,0,0,0,1,1,1,1,0,1,3
0,0,0,0,0,0,0,1,2,0,0,0,0,2
0,0,0,0,0,0,0,1,2,0,0,0,1,2
0,0,0,0,0,0,0,1,2,0,1,0,1,2
0,0,0,0,0,0,0,2,0,0,0,0,0,2
0,0,0,0,0,0,0,2,0,0,0,0,1,3
0,0,0,0,0,0,0,2,0,0,1,0,0,2
0,0,0,0,0,0,0,2,0,0,2,0,0,1
0,0,0,0,0,0,0,2,1,0,0,0,0,1
0,0,0,0,0,0,0,2,1,0,0,0,1,1
0,0,0,0,0,0,0,2,1,0,0,0,2,1
0,0,0,0,0,0,0,2,1,0,1,0,0,1
0,0,0,0,0,0,0,2,1,0,1,0,1,2
0,0,0,0,0,0,0,2,1,0,2,0,1,1
0,0,0,0,0,0,0,2,2,0,0,0,2,1
0,0,0,0,0,0,1,0,0,0,0,0,0,46
0,0,0,0,0,0,1,0,0,0,0,0,1,9
0,0,0,0,0,0,1,0,0,0,0,0,2,1
0,0,0,0,0,0,1,0,0,0,0,1,1,1
0,0,0,0,0,0,1,0,0,0,1,0,0,40
0,0,0,0,0,0,1,0,0,0,1,0,1,9
0,0,0,0,0,0,1,0,0,0,1,0,2,2
0,0,0,0,0,0,1,0,0,0,1,1,0,1
0,0,0,0,0,0,1,0,0,0,2,0,0,2
0,0,0,0,0,0,1,0,0,0,2,0,2,1
0,0,0,0,0,0,1,0,0,1,0,0,1,1
0,0,0,0,0,0,1,0,0,1,1,0,1,2
0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0,0,0,0,1,0,1,0,0,0,1,1
0,0,0,0,0,0,1,0,1,0,1,0,0,5
0,0,0,0,0,0,1,0,1,0,1,0,1,3
0,0,0,0,0,0,1,0,1,0,2,0,1,2
0,0,0,0,0,0,1,0,1,1,0,0,2,1
0,0,0,0,0,0,1,1,0,0,0,0,0,2
0,0,0,0,0,0,1,1,0,0,0,0,1,2
0,0,0,0,0,0,1,1,0,0,1,0,1,4
0,0,0,0,0,0,1,1,0,0,1,1,0,1
0,0,0,0,0,0,1,1,0,0,2,0,1,2
0,0,0,0,0,0,1,1,0,1,0,0,0,1
0,0,0,0,0,0,1,1,0,1,0,0,1,1
0,0,0,0,0,0,1,1,0,1,1,0,0,1
0,0,0,0,0,0,1,1,1,0,0,0,0,1
0,0,0,0,0,0,1,1,1,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,1,0,0,1
0,0,0,0,0,0,1,1,1,0,1,0,1,7
0,0,0,0,0,0,1,1,1,0,1,0,2,1
0,0,0,0,0,0,1,1,1,0,2,0,0,1
0,0,0,0,0,0,1,1,1,1,0,0,1,1
0,0,0,0,0,0,1,1,1,1,1,0,0,1
0,0,0,0,0,0,1,1,1,1,1,0,1,2
0,0,0,0,0,0,1,1,1,1,1,1,0,1
0,0,0,0,0,0,1,1,2,1,1,0,0,1
0,0,0,0,0,0,1,2,0,0,0,0,0,1
0,0,0,0,0,0,1,2,1,1,1,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,79
0,0,0,0,0,1,0,0,0,0,0,0,1,12
0,0,0,0,0,1,0,0,0,0,0,1,0,3
0,0,0,0,0,1,0,0,0,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,1,0,0,47
0,0,0,0,0,1,0,0,0,0,1,0,1,14
0,0,0,0,0,1,0,0,0,0,1,1,0,2
0,0,0,0,0,1,0,0,0,0,2,0,0,1
0,0,0,0,0,1,0,0,0,0,2,0,1,1
0,0,0,0,0,1,0,0,0,0,2,1,0,1
0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,1,0,0,0,0,3
0,0,0,0,0,1,0,0,1,0,0,0,1,2
0,0,0,0,0,1,0,0,1,0,1,0,0,1
0,0,0,0,0,1,0,0,1,0,1,0,1,3
0,0,0,0,0,1,0,0,1,0,2,0,1,2
0,0,0,0,0,1,0,0,1,1,0,0,0,1
0,0,0,0,0,1,0,0,1,1,0,0,1,1
0,0,0,0,0,1,0,1,0,0,0,0,0,8
0,0,0,0,0,1,0,1,0,0,0,1,0,1
0,0,0,0,0,1,0,1,0,0,1,0,0,10
0,0,0,0,0,1,0,1,0,0,1,0,1,8
0,0,0,0,0,1,0,1,0,0,2,0,1,1
