cbcl_q01_p,cbcl_q04_p,cbcl_q08_p,cbcl_q10_p,cbcl_q13_p,cbcl_q17_p,cbcl_q41_p,cbcl_q61_p,cbcl_q78_p,cbcl_q80_p,Count
0,1,0,2,0,0,0,0,0,0,4
0,1,0,2,0,0,1,0,0,0,2
0,1,0,2,0,0,1,0,1,0,1
0,1,0,2,1,0,0,0,0,0,1
0,1,0,2,2,2,1,0,1,1,1
0,1,1,0,0,0,0,0,0,0,75
0,1,1,0,0,0,0,0,0,1,1
0,1,1,0,0,0,0,0,1,0,134
0,1,1,0,0,0,0,0,1,1,7
0,1,1,0,0,0,0,0,2,0,7
0,1,1,0,0,0,0,0,2,1,2
0,1,1,0,0,0,0,1,0,0,17
0,1,1,0,0,0,0,1,0,1,1
0,1,1,0,0,0,0,1,1,0,35
0,1,1,0,0,0,0,1,1,1,1
0,1,1,0,0,0,0,1,2,0,2
0,1,1,0,0,0,0,2,1,0,1
0,1,1,0,0,0,1,0,0,0,12
0,1,1,0,0,0,1,0,1,0,37
0,1,1,0,0,0,1,0,1,1,2
0,1,1,0,0,0,1,1,0,0,1
0,1,1,0,0,0,1,1,1,0,11
0,1,1,0,0,0,1,1,1,1,1
0,1,1,0,0,0,1,2,1,0,2
0,1,1,0,0,0,1,2,1,1,1
0,1,1,0,0,0,1,2,2,0,1
0,1,1,0,0,0,2,0,1,0,3
0,1,1,0,0,0,2,0,2,0,1
0,1,1,0,0,0,2,0,2,1,1
0,1,1,0,0,0,2,1,0,0,1
0,1,1,0,0,0,2,1,1,0,1
0,1,1,0,0,1,0,0,0,0,20
0,1,1,0,0,1,0,0,0,1,1
0,1,1,0,0,1,0,0,1,0,65
0,1,1,0,0,1,0,0,1,1,7
0,1,1,0,0,1,0,0,2,0,5
0,1,1,0,0,1,0,0,2,1,1
0,1,1,0,0,1,0,1,0,0,3
0,1,1,0,0,1,0,1,1,0,17
0,1,1,0,0,1,0,1,1,1,4
0,1,1,0,0,1,0,1,2,0,2
0,1,1,0,0,1,0,1,2,1,3
0,1,1,0,0,1,0,2,1,0,1
0,1,1,0,0,1,1,0,0,0,2
0,1,1,0,0,1,1,0,1,0,20
0,1,1,0,0,1,1,0,1,1,6
0,1,1,0,0,1,1,0,2,0,3
0,1,1,0,0,1,1,1,0,0,1
0,1,1,0,0,1,1,1,1,0,9
0,1,1,0,0,1,1,1,1,1,2
0,1,1,0,0,1,1,1,2,0,2
0,1,1,0,0,1,1,1,2,1,1
0,1,1,0,0,1,1,1,2,2,1
0,1,1,0,0,1,1,2,1,0,1
0,1,1,0,0,1,2,0,1,1,1
0,1,1,0,0,2,0,0,0,0,3
0,1,1,0,0,2,0,0,1,0,4
0,1,1,0,0,2,0,0,1,1,4
0,1,1,0,0,2,0,0,2,0,3
0,1,1,0,0,2,0,0,2,1,2
0,1,1,0,0,2,0,1,1,0,2
0,1,1,0,0,2,0,2,2,1,1
0,1,1,0,0,2,1,1,2,1,1
0,1,1,0,0,2,2,0,1,0,1
0,1,1,0,1,0,0,0,1,0,3
0,1,1,0,1,0,0,0,1,1,1
0,1,1,0,1,0,0,1,1,0,1
0,1,1,0,1,0,0,1,2,0,1
0,1,1,0,1,0,0,2,1,0,1
0,1,1,0,1,0,1,0,1,1,1
0,1,1,0,1,0,1,1,1,1,1
0,1,1,0,1,1,0,0,0,0,1
0,1,1,0,1,1,0,0,0,1,2
0,1,1,0,1,1,0,0,1,0,7
0,1,1,0,1,1,0,0,1,1,6
0,1,1,0,1,1,0,0,2,0,1
0,1,1,0,1,1,0,1,1,0,2
0,1,1,0,1,1,0,1,1,1,1
0,1,1,0,1,1,0,1,2,1,1
0,1,1,0,1,1,1,0,1,0,4
0,1,1,0,1,1,1,0,1,1,1
0,1,1,0,1,1,1,0,2,1,1
0,1,1,0,1,1,1,1,0,0,1
0,1,1,0,1,1,1,1,1,0,1
0,1,1,0,1,1,1,1,1,1,2
0,1,1,0,1,1,1,1,2,1,1
0,1,1,0,1,2,0,0,2,1,1
0,1,1,0,1,2,0,0,2,2,1
0,1,1,0,1,2,0,1,1,0,1
0,1,1,0,1,2,1,0,0,1,1
0,1,1,0,1,2,1,0,1,0,1
0,1,1,0,2,2,1,0,2,1,1
0,1,1,0,2,2,1,0,2,2,1
0,1,1,1,0,0,0,0,0,0,46
0,1,1,1,0,0,0,0,1,0,146
0,1,1,1,0,0,0,0,1,1,4
0,1,1,1,0,0,0,0,2,0,6
0,1,1,1,0,0,0,1,0,0,3
0,1,1,1,0,0,0,1,1,0,17
