cbcl_q09_p,cbcl_q18_p,cbcl_q40_p,cbcl_q46_p,cbcl_q58_p,cbcl_q59_p,cbcl_q60_p,cbcl_q66_p,cbcl_q70_p,cbcl_q76_p,cbcl_q83_p,cbcl_q84_p,cbcl_q85_p,cbcl_q92_p,cbcl_q100_p,Count
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4716
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,207
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,661
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,54
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,45
0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,56
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1
0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,368
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,26
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,60
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,12
0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4
0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,19
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3
0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,33
0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2
0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,9
0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,108
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,64
0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,6
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,21
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,14
0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,6
0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2
0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16
0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,14
0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1
0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3
